x_value,total_1,total_2
0,1000,1000
1,1006,1001
2,1012,1001
3,1013,1002
4,1021,1000
5,1025,1001
6,1030,1003
7,1032,1004
8,1036,1000
9,1031,1002
10,1035,998
11,1039,999
12,1046,994
13,1042,989
14,1036,994
15,1041,992
16,1042,988
17,1044,989
18,1049,986
19,1056,986
20,1051,982
21,1049,977
22,1047,976
23,1055,975
24,1050,971
25,1056,970
26,1064,968
27,1066,970
28,1074,970
29,1073,965
30,1081,969
31,1075,975
32,1075,970
33,1071,976
34,1067,973
35,1067,974
36,1066,978
37,1061,976
38,1069,977
39,1071,977
40,1068,982
41,1069,987
42,1068,985
